period_seq,b2c_timeseries
2527,6425.0
2528,6255.0
2529,7009.0
2530,6413.0
2531,5670.0
2532,5608.0
2533,5538.0
2534,5386.0
2535,4967.714285714285
2536,9173.0
2537,9118.0
2538,7538.0
2539,6624.0
2540,7451.714285714285
2541,7561.714285714285
2542,6938.0
2543,6469.0
2544,7148.0
2545,7219.0
2546,6046.0
2547,6597.428571428572
2548,6254.0
2549,6831.565789473684
2550,6208.618421052632
2551,6255.0
2552,22155.0
2553,8499.0
2554,7272.0
2555,7226.0
2556,7597.0
2557,13290.0
2558,12138.0
2559,9545.0
2560,8069.0
2561,7442.0
2562,8308.0
2563,7490.0
2564,7330.0
2565,6304.0
2566,6784.0
2567,7007.0
2568,7613.0
2569,5904.0
2570,6018.0
2571,6670.0
2572,6266.0
2573,4936.0
2574,5668.0
2575,7427.0
2576,6815.0
2577,5410.0
2578,5516.0
2579,7062.0
2580,5526.0
2581,6684.0
2582,5898.0
2583,4991.0
2584,6851.0
2585,6083.0
2586,5742.0
2587,5113.0
2588,9441.0
2589,9151.0
2590,8240.0
2591,7474.0
2592,9546.0
2593,8561.0
2594,7355.0
2595,6882.0
2596,6938.0
2597,7815.0
2598,7696.0
2599,7620.0
2600,6455.0
2601,7506.0
2602,7050.0
2603,6874.0
2604,6458.0
2605,25191.0
2606,9993.0
2607,8982.0
2608,8646.0
2609,9464.0
2610,12788.0
2611,11203.0
2612,10582.45
2613,9320.0
2614,9617.0
2615,9019.0
2616,8616.0
2617,8319.0
2618,9123.0
2619,9417.0
2620,9637.0
2621,10200.0
2622,8994.0
2623,12624.0
2624,9533.0
2625,9198.0
2626,8682.0
2627,11742.0
2628,9093.0
2629,10977.0
2630,9922.0
2631,10243.0
2632,16652.0
2633,14137.0
2634,10367.0
2635,8274.0
2636,11407.0
2637,9806.0
2638,8309.0
2639,8355.0
2640,11776.0
2641,9918.0
2642,7488.0
2643,8203.0
2644,8971.0
2645,9836.0
2646,9093.0
2647,9358.0
2648,11175.0
2649,14489.0
2650,15833.0
2651,12750.0
2652,9518.0
2653,9903.0
2654,9428.0
2655,8571.0
2656,13965.0
2657,28091.0
2658,11896.0
2659,11076.0
2660,12340.0
2661,7699.0
2662,12117.0
2663,10899.0
2664,9238.0
2665,9712.0
2666,10228.0
2667,10361.0
2668,8598.0
2669,8469.0
2670,8338.0
2671,10654.0
2672,9392.0
2673,9019.0
2674,9390.0
2675,8706.0
2676,10096.0
2677,8555.0
2678,7547.0
2679,8827.0
2680,8809.0
2681,7954.0
2682,6557.0
2683,6940.0
2684,7162.0
2685,7601.0
2686,6611.0
2687,6979.0
2688,8872.0
2689,7533.0
2690,5631.0
2691,6210.0
2692,9777.0
2693,9379.0
2694,8236.0
2695,7006.0
2696,6998.0
2697,7913.0
2698,6741.0
2699,6768.0
2700,6865.0
2701,7709.0
2702,6991.0
2703,6727.0
2704,7064.0
2705,6809.0
2706,6828.0
2707,6663.0
2708,8198.0
2709,21286.0
2710,9449.0
2711,7605.0
2712,7911.0
2713,4912.0
2714,11549.0
2715,11695.0
2716,8778.0
2717,7140.0
2718,7116.0
2719,8219.0
2720,6621.0
2721,6611.0
2722,6482.0
2723,6526.0
2724,5931.0
2725,5771.0
2726,4885.0
2727,6198.0
2728,6202.0
2729,5035.0
2730,5782.0
2731,5557.0
2732,5859.0
2733,5261.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2493,6743.0
2494,5895.0
2495,6576.0
2496,6405.0
2497,5995.0
2498,5676.0
2499,5097.0
2500,17326.0
2515,6449.0
2516,6480.0
2517,5862.0
2518,6352.0
2519,6517.0
2520,6577.0
2521,5083.0
2522,5880.0
2501,7032.285714285715
2502,6373.0
2503,6841.0
2504,6479.0
2505,11721.0
2523,6838.0
2524,5405.0
2525,4424.0
2526,4186.0
2484,9929.0
2485,6659.0
2479,5814.285714285715
2480,5560.0
2481,5550.0
2482,5415.0
2483,8548.0
2486,6125.0
2487,5919.142857142857
2488,6458.0
2489,5999.0
2490,5429.0
2491,5423.0
2492,7150.0
2506,12385.0
2507,8671.142857142857
2508,7409.0
2509,6615.0
2510,7746.0
2511,6190.0
2512,6373.0
2513,5589.0
2514,6719.0
